deployment name,protocol name,protocol type,network,status,slug,query-id
opyn-gamma-ethereum,opyn-gamma,derivatives-options,ethereum,prod,opyn-gamma-ethereum,3zUv74ekxpiy92MQ2MwemR8fJhjvgyBFaGzQLkYHmaUy
opyn-gamma-polygon,opyn-gamma,derivatives-options,polygon,prod,opyn-gamma-polygon,6WbUbvCBtjhKyf9ddZEfVReHNHHunzspGBp3hFsy1c8P
gains-trade-arbitrum,gains-trade,derivatives-perpfutures,arbitrum,prod,gains-trade-arbitrum,DuPBYBj3nfP3sFiHwkRfTATmA4iSqoPvxBaRXWiwpELk
gains-trade-polygon,gains-trade,derivatives-perpfutures,polygon,prod,gains-trade-polygon,4d1zcsK9f1T2wzZTGZHaLKswbhmKTRWu1yeyX94htoMW
gmx-arbitrum,gmx,derivatives-perpfutures,arbitrum,prod,gmx-arbitrum,DiR5cWwB3pwXXQWWdus7fDLR2mnFRQLiBFsVmHAH9VAs
gmx-avalanche,gmx,derivatives-perpfutures,avalanche,prod,gmx-avalanche,6pXgnXcL6mkXBjKX7NyHN7tCudv2JGFnXZ8wf8WbjPXv
kwenta-optimism,kwenta,derivatives-perpfutures,optimism,prod,kwenta-optimism,5sbJJTTJQQ4kYuVYNBVw9sX8C5juRpVJNLHg7uFugw2e
level-finance-arbitrum,level-finance,derivatives-perpfutures,arbitrum,prod,level-finance-arbitrum,9KPc6WMUXg6mqQ9KbCeosJrgmsZyH97vpFPKwJHkVkui
level-finance-bsc,level-finance,derivatives-perpfutures,bsc,prod,level-finance-bsc,97TRgysfrSPH7sumNXSasdjhKBnDwig2JKE7PwB4W2J8
mummy-finance-arbitrum,mummy-finance,derivatives-perpfutures,arbitrum,prod,mummy-finance-arbitrum,4Po9haSDCDbQ2XtrSXqT8BNB9H6T7EUAmbAorAzHQi9S
mummy-finance-fantom,mummy-finance,derivatives-perpfutures,fantom,prod,mummy-finance-fantom,FP8YzYVARZ6jEYrciiTEtzrNfug7STzYyUr3fRUjQkEA
mummy-finance-optimism,mummy-finance,derivatives-perpfutures,optimism,prod,mummy-finance-optimism,GvgdFS6dFXCSXwq9PDTdcs5uZzwZYuTrqFjiTRC3jy54
mux-protocol-arbitrum,mux-protocol,derivatives-perpfutures,arbitrum,prod,mux-protocol-arbitrum,AMh1u4wCbz8Jybs4Nf7uGBdU9dz2C8mJkH1Aocz6HXUf
mux-protocol-avalanche,mux-protocol,derivatives-perpfutures,avalanche,prod,mux-protocol-avalanche,97XbzzGmRpUvHwdZyArbyrZHFnmWU15tC381epA1Fp7H
mux-protocol-bsc,mux-protocol,derivatives-perpfutures,bsc,prod,mux-protocol-bsc,3zRKcHbGqvMe6BG6fiLiaKx3y41ytzjw4jetbh5Q2fx1
mux-protocol-fantom,mux-protocol,derivatives-perpfutures,fantom,prod,mux-protocol-fantom,46iwTwh5F6yAuKHF9iwFccu9wsYEaXwQCwnj2EjcEgBk
mux-protocol-optimism,mux-protocol,derivatives-perpfutures,optimism,prod,mux-protocol-optimism,7hUM4US9DPz6JqLD6ySqwFmLq4XiAF7cEZLmEesQnYgR
apeswap-bsc,apeswap,dex-amm,bsc,prod,apeswap-bsc,4u1aTvzBMjBdm7aK7uQmjffhoPc6Ceu3w2nTfq6vUQnb
apeswap-polygon,apeswap,dex-amm,polygon,prod,apeswap-polygon,2x478mWv6rECUcJR4VxNxRnuMuRsY22Jxy7xxXJu4Q7F
balancer-v2-ethereum,balancer-v2,dex-amm,ethereum,prod,balancer-v2-ethereum,794H6CNzdGF5YfBK9nPsUgGn7EBbdJSCTjgcKPEPyFnn
bancor-v3-ethereum,bancor-v3,dex-amm,ethereum,prod,bancor-v3-ethereum,4Q4eEMDBjYM8JGsvnWCafFB5wCu6XntmsgxsxwYSnMib
